"File","Line","Match","Text"
"bindings.ts","1492","easiest","'Queues are easiest to understand when the producer names and consumer config live together in the same authored source of truth.',"
"bindings.ts","1731","easiest","'Service bindings are easiest to trust when the relationship lives in config, not in a mix of environment variables and copied worker names.',"
"bindings.ts","1818","honest","'The shortest honest test is usually one real service call through the generated env binding. That already proves the config relationship and the callable surface.',"
"bindings.ts","1855","tiny","summary: 'This example keeps the service story tiny: one gateway worker, one math worker, and one method call through the generated env binding.',"
"bindings.ts","1911","tiny","'Once this tiny path works, adding named entrypoints becomes an incremental extension, not a different architecture.',"
"bindings.ts","1918","honest","'One method call is already enough to teach the service-binding contract honestly.'"
"bindings.ts","1935","honest","description: 'That means the docs should be honest: Devflare can compile and type the binding cleanly, but meaningful tests usually need remote mode and real account access.',"
"bindings.ts","1944","honest","'AI is one of the clearest examples of Devflare choosing honesty over fantasy. The binding exists in config, the env is typed, and the deploy story is real ? but model inference itself still lives on Cloudflare infrastructure.',"
"bindings.ts","1975","honest","'The honest story is that Devflare supports the binding cleanly, but real AI behavior still requires remote infrastructure.'"
"bindings.ts","2008","Honest","title: 'Honest tooling beats fake local magic',"
"bindings.ts","2010","on purpose","'Devflare makes AI explicit and testable on purpose, but it does not pretend local emulation is equivalent to real inference.'"
"bindings.ts","2028","tiny, tiny","'Start with a tiny inference call and a tiny assertion. The goal is to prove that the binding works and the worker can talk to the intended model, not to test your entire AI product in one unit test.',"
"bindings.ts","2043","tiny","test('runs a tiny inference request', async () => {"
"bindings.ts","2073","tiny","summary: 'This example keeps the AI path tiny: one binding, one inference call, one JSON response.',"
"bindings.ts","2102","tiny","title: 'A tiny inference endpoint',"
"bindings.ts","2116","the point is","'Use a cheap, small model in smoke paths unless the point is to verify a specific expensive production model.',"
"bindings.ts","2140","honest","description: 'That makes the docs pattern similar to AI: compile support is strong, preview lifecycle is explicit, and tests should be honest about when they are using the real index versus a fake.',"
"bindings.ts","2273","tiny","title: 'A tiny real query beats a giant fake suite',"
"bindings.ts","2281","honest","summary: 'This example keeps Vectorize honest: one index binding, one upsert, and one query against the same worker path.',"
"bindings.ts","2312","tiny","title: 'A tiny write-and-query route',"
"bindings.ts","2339","small on purpose","'This example is small on purpose, but it is not fictional. The named index has to exist and match the vector shape you send.'"
"bindings.ts","2356","honest","description: 'That is not a reason to avoid it ? it is a reason to document it honestly. The binding is supported, yet the strongest evidence in the repo focuses on presence, connection info, and targeted integration rather than a giant local mock universe.',"
"bindings.ts","2480","honest","title: 'Conservative is the honest test strategy',"
"bindings.ts","2553","honest","description: 'That is still useful. It means browser work can live in the same docs library as every other binding, just with honest caveats about limits and testing style.',"
"bindings.ts","2563","honest","'That single-binding constraint is not a Devflare whim. It reflects the current Wrangler and platform support Devflare is choosing to expose honestly.'"
"bindings.ts","2626","honest","title: 'The honest browser story',"
"bindings.ts","2628","tiny","'Browser support is real, but it is infrastructural. Expect a stronger dev-server story than a tiny one-function local helper story.'"
"bindings.ts","2679","honest","'Browser bindings get expensive fast. One honest launch or render smoke path is usually better than an enormous browser suite that nobody trusts.'"
"bindings.ts","2732","tiny","'Keep the first route tiny so launch, navigation, and cleanup are the only moving parts you have to trust.',"
"bindings.ts","2820","honest","'The repo smoke app and integration tests show `writeDataPoint()` being called through the binding, which is enough to describe the runtime contract honestly.',"
"bindings.ts","2873","tiny","'Use worker smoke tests around the route or job that should emit the event when you want stronger evidence than a tiny mock.',"
"bindings.ts","2885","easiest","'Analytics bindings are easiest to trust when the worker writes a clearly reviewable point and the tests prove that narrow behavior directly.'"
"bindings.ts","2892","obvious","description: 'It keeps the dataset name visible, the event payload small, and the worker boundary obvious.',"
"bindings.ts","2895","tiny","'The route is tiny because the interesting part is the event write.',"
"bindings.ts","2937","tiny, honest","'If the real event shape grows richer later, this tiny route still teaches the binding contract honestly.'"
"bindings.ts","2969","easiest","'Send Email bindings are easiest to trust when the allowed addresses are visible in config rather than buried in some last-minute secret or helper wrapper.',"
"bindings.ts","3029","honest","'Address restrictions are part of the local contract, which keeps the binding honest during development.',"
"bindings.ts","3104","honest","description: 'It is enough to teach the binding honestly without dragging inbound processing or full provider workflows into the very first page.',"
"bindings.ts","3150","obvious","'Keep the first outbound example narrow so the binding contract stays obvious.',"
"build-apps.ts","294","honest","title: 'Keep one honest multi-worker test on the page',"
"build-apps.ts","444","honest","'Run `types` after binding or config changes so `env.d.ts` stays honest.',"
"build-apps.ts","485","on purpose","'That is powerful, but it also means you are taking responsibility for that main entry shape on purpose.'"
"devflare.ts","24","Safest","{ label: 'Safest habit', value: 'Run commands from the package that owns the `devflare.config.ts` you mean to resolve' }"
"devflare.ts","42","on purpose","['Explicit deploy intent', 'You are sending traffic to production or preview on purpose.', '`devflare deploy --prod`, `devflare deploy --preview <name>`'],"
"devflare.ts","59","boring","title: 'Most packages should live in one boring, reliable command loop',"
"devflare.ts","76","honest","'Run `types` after binding or entrypoint changes so `env.d.ts` stays honest.',"
"devflare.ts","204","boring","title: 'The split should stay boring',"
"devflare.ts","322","boring","title: 'Keep the first test boring',"
"devflare.ts","399","boring","'Keep each entry boring and explicit: detect one value shape, encode it into plain data, and decode that data back into the class on the caller side.',"
"devflare.ts","464","obvious","'Use one transport key per value type so decoding stays obvious in code review.'"
"devflare.ts","469","tiny, easiest","title: 'A tiny test is still the easiest proof of the round-trip',"
"frameworks.ts","218","obvious","title: 'Keep ownership lines obvious',"
"ship-operate.ts","12","small on purpose","'This repository keeps GitHub workflows small on purpose: caller workflows own triggers, permissions, and package selection, while shared Devflare actions handle impact checks, deploy execution, and feedback publishing.',"
"ship-operate.ts","14","boring","'The CI/CD pattern in this repo is intentionally boring in the best way. One workflow validates the workspace, preview workflows decide whether a package is affected before they deploy, production workflows verify what went live, and shared actions keep the mechanics consistent across packages.',"
"ship-operate.ts","136","on purpose","'After deploy, the workflows in this repo publish GitHub feedback on purpose. Preview workflows update a stable PR comment in place, while production workflows can publish a GitHub deployment record and verify that the expected build is actually visible on the live site.',"
"ship-operate.ts","194","on purpose","title: 'Build and deploy production on purpose, with explicit targets and inspectable output',"
"ship-operate.ts","203","easiest","'`config print` and `doctor` are the easiest preflight tools when something feels off.'"
"ship-operate.ts","376","obvious","'If the deploy is for `apps/documentation`, make that obvious in the working directory or script name. The package boundary should be visible in logs and workflow steps.'"
"ship-operate.ts","567","obvious","'Use the most specific selector you can. Cleanup is easier to trust when the target is obvious in the command itself.'"
"start-here.ts","407","The point is","title: 'The point is fast confidence, not more ceremony',"
"start-here.ts","435","safest","title: 'The safest mental model',"
"start-here.ts","506","safest","title: 'The safest drift rule',"
"start-here.ts","581","tiny","'This page keeps the first pass tiny: explicit `files.fetch`, one small handler, and just enough commands to install Devflare, generate types, and run the worker locally.',"
"start-here.ts","703","honest","'Hit the worker through `cf.worker.get()` for the first honest proof.',"
"start-here.ts","715","honest","title: 'Write one honest test',"
"start-here.ts","717","easiest","'The easiest continuation from the first worker page is not a refactor. It is one new test file beside the same config and fetch handler.',"
"start-here.ts","757","boring, on purpose","title: 'Keep the first test boring on purpose',"
"start-here.ts","759","obvious, obvious, exactly what you want, tiny","'If the first test is obvious, failures are obvious too. That is exactly what you want while the worker is still tiny.'"
"start-here.ts","794","tiny","'Keep one worker shape throughout: a tiny `src/fetch.ts`, a `src/routes/**` tree for leaf handlers, and one shared helper module that can read the active request through `devflare/runtime` when that keeps the code cleaner.',"
"start-here.ts","804","Tiny","{ label: 'Base shape', value: 'Tiny `src/fetch.ts` plus `src/routes/**` and shared helpers' },"
"start-here.ts","813","tiny","'The additive move after the first worker is not a different app. It is the same worker with one tiny fetch entry, one route tree, and one shared request helper.',"
"start-here.ts","815","tiny","'Once the first worker responds and maybe already has one small test, the next step is to keep `src/fetch.ts` tiny. Let it do request-wide setup, then let `src/routes/**` own the individual URLs.',"
"start-here.ts","816","calm way","'That shape also makes Devflare\'s AsyncLocalStorage-backed runtime helpful in a calm way: helper modules can read the active request path or request id through `getFetchEvent()` and `locals` without turning every function signature into plumbing.'"
"start-here.ts","829","tiny","'The fetch file stays tiny. Routes own URLs, and one helper module reads the active request context through Devflare runtime when you need it.',"
"start-here.ts","871","obvious","body: 'Add one route that opens a page and returns its title so the browser binding stays obvious.'"
"start-here.ts","877","This is still","title: 'This is still the same worker',"
"start-here.ts","891","honest","'That keeps the route honest: the HTTP path stays in `src/routes/counter.ts`, the stateful method stays in `src/do/counter.ts`, and `src/transport.ts` restores the returned value object cleanly on the worker side.'"
"start-here.ts","937","good first","title: 'Why this is a good first Durable Object',"
"start-here.ts","950","obvious","'Here the route path becomes the obvious home for the binding: `src/routes/files/[name].ts` owns both the `PUT` and `GET` flow for one named object.',"
"start-here.ts","957","tiny","'The global fetch file stays tiny. The new work lives in one route file under `src/routes/files/[name].ts`.',"
"start-here.ts","979","good first","title: 'Why this is a good first R2 route',"
"start-here.ts","1030","quick win","title: 'Go deeper when the first quick win works',"
"start-here.ts","1032","tiny","'Once one tiny example works locally, jump to the dedicated binding guides for the bigger caveats, testing patterns, and architecture choices.',"
"start-here.ts","1062","on purpose","title: 'Deploy one preview on purpose, then delete it cleanly when you are done',"
"start-here.ts","1064","on purpose","'Take the same starter worker and ship one named preview on purpose, then remove that same preview scope cleanly when you are done.',"
"start-here.ts","1084","easiest, obvious","'Named previews are the easiest first deploy shape because the destination is obvious in the command itself and the same name can follow the preview through CI, cleanup, and review.',"
"start-here.ts","1120","the whole reason","'If the command says `--preview next`, you already know where it is going. That clarity is the whole reason the CLI insists on explicit deploy targets.'"
"start-here.ts","1161","on purpose","title: 'Delete previews on purpose too',"
"start-here.ts","1225","honest","'This keeps the handler honest while still letting helper code read the active request and shared locals later in the same call trail.',"
"start-here.ts","1271","easiest","['Handler parameters', 'You are at the boundary of a fetch, queue, scheduled, email, tail, or Durable Object handler.', 'Most explicit and easiest to test.'],"
"start-here.ts","1396","safest","'Devflare gives you a request-wide fetch entry and a built-in file router. The safest mental model is simple: keep broad middleware in `src/fetch.ts`, keep URL-specific behavior in `src/routes/**`, and reach for `files.routes` when the route tree needs custom mounting rules.',"
"start-here.ts","1412","on purpose","title: 'There are two HTTP layers on purpose',"
"start-here.ts","1510","obvious","'Explicit `files.routes` keeps the route root and prefix obvious in code review while the app stays route-only.',"
"start-here.ts","1609","boring","'If two files normalize to the same route pattern, Devflare rejects the tree instead of guessing. That makes route review boring in the best possible way.'"
"start-here.ts","1626","easiest","'The easiest way to keep Devflare predictable is to keep stable intent in authored config and let build or deploy flows resolve the noisy details. That applies to environment overlays, stable resource names, secrets, and generated output.',"
